Species,ST,FP3
1H,5.55E-05,3.84E-05
2H,1.98E-13,1.35E-13
3He,6.52E-10,6.49E-10
4He,5.12E-03,5.55E-03
6Li,6.70E-15,6.57E-15
7Li,4.52E-09,5.31E-09
9Be,2.05E-14,1.99E-14
10B,2.72E-14,2.45E-14
11B,3.02E-09,3.34E-09
12C,1.18E-06,1.48E-06
13C,6.82E-09,7.09E-09
14N,5.54E-08,4.08E-08
15N,1.02E-07,8.25E-08
16O,1.03E-07,1.13E-07
17O,5.17E-11,5.33E-11
18O,7.16E-09,5.41E-09
19F,1.02E-08,8.95E-09
20Ne,3.12E-08,4.08E-08
21Ne,1.63E-10,2.00E-10
22Ne,5.37E-09,5.82E-09
23Na,3.33E-10,4.46E-10
24Mg,1.80E-08,2.53E-08
25Mg,5.30E-09,1.05E-08
26Mg,4.40E-08,4.30E-08
27Al,3.03E-09,3.32E-09
28Si,5.44E-08,8.45E-08
29Si,1.11E-08,1.66E-08
30Si,6.82E-08,6.13E-08
31P,2.10E-08,2.82E-08
32S,1.98E-07,2.76E-07
33S,3.37E-08,3.89E-08
34S,2.27E-07,2.20E-07
36S,4.09E-12,5.03E-12
35Cl,1.78E-07,2.03E-07
37Cl,1.05E-07,1.14E-07
36Ar,1.11E-06,1.41E-06
38Ar,2.62E-07,3.01E-07
40Ar,9.90E-11,1.24E-10
39K,4.07E-07,4.83E-07
40K,4.98E-10,5.98E-10
41K,8.14E-08,8.53E-08
40Ca,3.55E-06,3.93E-06
42Ca,5.23E-07,6.98E-07
43Ca,1.77E-07,2.27E-07
44Ca,5.96E-06,7.17E-06
46Ca,2.44E-15,1.25E-15
48Ca,0.00E+00,0.00E+00
45Sc,1.41E-07,1.46E-07
46Ti,7.18E-07,8.29E-07
47Ti,9.24E-07,1.17E-06
48Ti,8.36E-06,1.01E-05
49Ti,7.47E-07,7.64E-07
50Ti,3.35E-12,7.44E-14
50V,1.94E-09,2.97E-10
51V,1.95E-06,2.23E-06
50Cr,1.41E-06,1.64E-06
52Cr,1.50E-05,1.82E-05
53Cr,1.04E-06,1.22E-06
54Cr,1.26E-08,1.86E-09
55Mn,3.41E-06,2.88E-06
54Fe,3.22E-06,3.64E-06
56Fe,2.52E-03,2.92E-03
57Fe,1.80E-04,2.13E-04
58Fe,7.25E-08,2.18E-08
59Co,8.61E-05,1.08E-04
58Ni,1.79E-03,2.21E-03
60Ni,2.09E-03,1.72E-03
61Ni,5.04E-05,4.62E-05
62Ni,5.11E-04,2.88E-04
64Ni,2.55E-07,5.38E-09
63Cu,5.96E-05,1.97E-05
65Cu,1.56E-05,4.59E-06
64Zn,6.38E-04,6.51E-04
66Zn,4.54E-04,2.16E-05
67Zn,4.44E-06,2.03E-06
68Zn,2.89E-05,3.90E-05
70Zn,9.72E-12,2.14E-14
69Ga,1.93E-06,5.68E-07
71Ga,3.96E-07,7.64E-08
70Ge,8.29E-05,6.61E-06
72Ge,5.05E-06,7.10E-07
73Ge,4.11E-07,4.32E-08
74Ge,5.16E-09,6.86E-12
76Ge,2.91E-14,4.90E-20
75As,3.35E-07,1.84E-08
74Se,5.13E-06,9.28E-07
76Se,9.05E-06,3.39E-08
77Se,2.77E-07,7.99E-09
78Se,1.32E-07,5.41E-11
80Se,1.49E-10,2.87E-14
82Se,8.40E-16,0.00E+00
79Br,2.08E-07,1.15E-08
81Br,1.23E-07,3.09E-09
78Kr,7.06E-07,2.58E-07
80Kr,2.88E-06,4.71E-08
82Kr,1.08E-06,2.53E-08
83Kr,2.03E-07,5.58E-09
84Kr,3.57E-08,6.87E-12
86Kr,1.24E-11,3.48E-18
85Rb,1.40E-07,4.29E-09
87Rb,4.21E-09,1.39E-15
84Sr,3.10E-07,5.87E-08
86Sr,1.29E-06,6.94E-09
87Sr,2.92E-07,2.72E-09
88Sr,2.74E-06,3.24E-08
89Y,3.92E-06,1.25E-08
90Zr,1.21E-04,8.04E-07
91Zr,9.96E-07,6.61E-08
92Zr,7.81E-09,1.35E-10
94Zr,3.89E-16,1.97E-20
96Zr,0.00E+00,0.00E+00
93Nb,2.05E-08,2.07E-09
92Mo,7.02E-07,2.73E-07
94Mo,1.42E-08,2.32E-10
95Mo,7.96E-11,1.16E-11
96Mo,3.94E-12,6.44E-14
97Mo,1.46E-12,2.09E-13
98Mo,6.96E-18,0.00E+00
100Mo,0.00E+00,0.00E+00
96Ru,2.59E-11,1.58E-11
98Ru,2.86E-12,6.57E-14
99Ru,1.70E-14,8.73E-16
100Ru,7.23E-15,4.99E-16
101Ru,2.58E-16,2.17E-17
102Ru,9.02E-19,0.00E+00
104Ru,0.00E+00,0.00E+00
103Rh,4.39E-18,1.01E-19
102Pd,3.81E-16,1.65E-17
104Pd,3.19E-18,4.54E-21
105Pd,1.52E-20,0.00E+00